channel_id,channel_name,uploads_playlist_id,subscriber_count
UCAHXKUBO1FSNsvWv9D8vLIg,Rebecca Zamolo Shorts,UUAHXKUBO1FSNsvWv9D8vLIg,2510000
UCwwsXOHW4qxgK4z-HNHOFtg,ᴀᴋꜱ_ᴇᴅɪᴛᴢ,UUwwsXOHW4qxgK4z-HNHOFtg,3480
UCfXzRcRPMHw_AF7EdRtyiJQ,Kate Hayes,UUfXzRcRPMHw_AF7EdRtyiJQ,176000
UCrz6pIpmPs9Y_aoMvZgVxkA,Citizen Remote,UUrz6pIpmPs9Y_aoMvZgVxkA,209
UCg4nYWfiUi2tguoUPyb9zmA,TocaToast,UUg4nYWfiUi2tguoUPyb9zmA,1410000
UCPpzJ0GR8RIr4Bqe8b9zD4A,TubeSpanner,UUPpzJ0GR8RIr4Bqe8b9zD4A,31300
UCx7DWIF3zT2xapezCxIzNVQ,Sandra Di,UUx7DWIF3zT2xapezCxIzNVQ,201000
UCZXSAlZmPMHoiZGvBKbnBUg,Value Addition Global Show,UUZXSAlZmPMHoiZGvBKbnBUg,120
UCQuRK-VFyCjf3VCqZkCDveA,Uncomfy,UUQuRK-VFyCjf3VCqZkCDveA,127000
UCui9Nl19SIFypSL2fR2G3NQ,LTC KDgroup No17,UUui9Nl19SIFypSL2fR2G3NQ,1080
UCoKHLKjQnZi8JI_3R6ySv-Q,Millennial Profit,UUoKHLKjQnZi8JI_3R6ySv-Q,24800
UCY6OMgjdCR2PgV25x1rxGfw,Ruhan Khan RR,UUY6OMgjdCR2PgV25x1rxGfw,0
UC514NG_s-3SqREm_w_UeVEQ,artpassion,UU514NG_s-3SqREm_w_UeVEQ,546000
UCp17QjqpZyCH6JAd0zGR-Ow,Ortega Twins,UUp17QjqpZyCH6JAd0zGR-Ow,30200
UC1LOZ2erj8pLsyb1duMQ5_w,Blogging Scale,UU1LOZ2erj8pLsyb1duMQ5_w,22000
UCUDtDbORSrVUjxu4aNhtjYw,sowlzzy,UUUDtDbORSrVUjxu4aNhtjYw,188000
UCLXo7UDZvByw2ixzpQCufnA,Vox,UULXo7UDZvByw2ixzpQCufnA,11400000
UCCUsRv4niw4rj3D1pRdZSKw,Gisella Meiviana,UUCUsRv4niw4rj3D1pRdZSKw,14200
UCwZC-FyWUWtjveSCH3X525Q,Matt While,UUwZC-FyWUWtjveSCH3X525Q,20900
UCui4jxDaMb53Gdh-AZUTPAg,Liam Ottley,UUui4jxDaMb53Gdh-AZUTPAg,84400
UCM5UbA5lBKhoWLeV5zQjcPA,TECHNICAL RAJESH,UUM5UbA5lBKhoWLeV5zQjcPA,14500
UChCEjJQ72UQC6w423-o9omw,Guillaume Moubeche,UUhCEjJQ72UQC6w423-o9omw,20400
UCHnTCCi0O7bkLyrpegwtOZg,job search 2.0,UUHnTCCi0O7bkLyrpegwtOZg,4
UCZ59iKBmGRfQlnl73sOX0Lw,Sebastian Ghiorghiu,UUZ59iKBmGRfQlnl73sOX0Lw,917000
UCHp_T5nCTk_6f6_hFlxEoDA,Sebastian Esqueda,UUHp_T5nCTk_6f6_hFlxEoDA,162000
UCXtrYuGksGkkyls50lPWvYQ,ppcian,UUXtrYuGksGkkyls50lPWvYQ,85500
UCw7iV-b4LircM2ugUJTJXSg,GoHighLevel Kick-Starters,UUw7iV-b4LircM2ugUJTJXSg,1740
UC5eAy9_AKthxQT7qafKcgCQ,AI-pocalypse,UU5eAy9_AKthxQT7qafKcgCQ,54500
UCl5qv37phcgaFYNzopmBT4A,ASK JOFA,UUl5qv37phcgaFYNzopmBT4A,13500
UCS-_nVJBVHKLGqTTfY9D-aQ,Algrow,UUS-_nVJBVHKLGqTTfY9D-aQ,475000
